Gene	Blattner
EG12096	b4225
EG11817	b2744
G7452	b2794
EG10611	b2113
EG10634	b0675
EG11085	b0082
EG11158	b2912
EG11202	b3812
EG11289	b2147
EG11568	b0046
EG11692	b3665
EG11728	b3718
EG11761	b1461
EG11850	b3885
EG11905	b3946
EG12172	b1103
EG12298	b3614
EG12318	b0123
EG12409	b2468
EG12633	b3034
EG12702	b0901
G6261	b0485
G6437	b0837
G6442	b0844
G6456	b0872
G6539	b1033
G6556	b1059
G6701	b1378
G6717	b1396
G6727	b1408
G6731	b1412
G6791	b1501
G6810	b1524
G6986	b1800
G7123	b2086
G7145	b2146
G7158	b2245
G7164	b2251
G7408	b2690
G7462	b2834
G7490	b2871
G7636	b3141
G7717	b3351
G7721	b3358
G7740	b3397
G7836	b4146
G7877	b4243
G7945	b4358
EG10222	b4384
EG11865	b3901
EG12019	b2137
EG12113	b3391
EG12234	b3499
G6868	b1624
G7634	b3136
G7736	b3392
G7737	b3393
G7738	b3394
G7739	b3395
G7747	b3413
G7748	b3414
G7757	b3440
G7855	b4192
EG10006	b4123
EG10016	b3126
EG10024	b0114
EG10025	b0115
EG10027	b2296
EG10035	b1415
EG10052	b0062
EG10053	b0063
EG10054	b0064
EG10055	b0061
EG10056	b2841
EG10057	b1901
EG10058	b1900
EG10059	b4460
EG10060	b0396
EG10085	b2716
EG10086	b2715
EG10087	b2714
EG10114	b3721
EG10115	b3722
EG10116	b3723
EG10140	b1738
EG10141	b1737
EG10142	b1736
EG10143	b1735
EG10144	b1734
EG10161	b2049
EG10165	b2417
EG10252	b3076
EG10253	b3077
EG10254	b3075
EG10256	b1850
EG10282	b2925
EG10336	b2167
EG10348	b2800
EG10349	b2802
EG10350	b2803
EG10351	b2799
EG10352	b2801
EG10353	b2805
EG10355	b2804
EG10362	b0759
EG10363	b0757
EG10364	b2837
EG10365	b2151
EG10366	b0758
EG10369	b0124
EG10380	b3428
EG10381	b3431
EG10411	b2029
EG10522	b2587
EG10524	b0342
EG10525	b0345
EG10526	b0343
EG10527	b0344
EG10543	b0116
EG10555	b4033
EG10556	b4032
EG10557	b1620
EG10558	b4035
EG10559	b4037
EG10560	b3417
EG10561	b3416
EG10562	b3418
EG10563	b1621
EG10564	b1622
EG10565	b0403
EG10566	b1613
EG10567	b1817
EG10568	b1818
EG10569	b1819
EG10576	b3236
EG10577	b4119
EG10578	b4120
EG10592	b2149
EG10593	b2150
EG10594	b2148
EG10615	b3599
EG10616	b3600
EG10656	b3188
EG10699	b3916
EG10700	b1723
EG10754	b0871
EG10773	b2679
EG10787	b1101
EG10788	b2415
EG10789	b2416
EG10814	b3749
EG10815	b3751
EG10816	b3750
EG10817	b3748
EG10818	b3752
EG10819	b3753
EG10842	b3906
EG10843	b3905
EG10949	b0146
EG10969	b2703
EG10970	b2704
EG10971	b2705
EG10972	b2706
EG10974	b2707
EG11051	b3669
EG11052	b3668
EG11053	b3667
EG11054	b3666
EG11055	b1617
EG11065	b1521
EG11066	b4322
EG11074	b3565
EG11075	b3564
EG11076	b4031
EG11101	b0476
EG11175	b3124
EG11176	b3125
EG11221	b1852
EG11225	b4138
EG11230	b4118
EG11258	b0904
EG11288	b0394
EG11313	b3907
EG11316	b3571
EG11319	b1236
EG11330	b2663
EG11387	b1927
EG11402	b4239
EG11427	b2935
EG11443	b2914
EG11447	b2696
EG11448	b4069
EG11561	b0040
EG11636	b1528
EG11648	b0207
EG11658	b1616
EG11698	b0756
EG11708	b3681
EG11729	b3719
EG11754	b0070
EG11791	b2934
EG11792	b2933
EG11827	b4090
EG11864	b3900
EG11866	b3902
EG11867	b3903
EG11868	b3904
EG11869	b3909
EG11906	b3947
EG11909	b3950
EG11912	b3953
EG11956	b4084
EG11958	b4086
EG11959	b4087
EG11961	b3603
EG11965	b3601
EG12013	b2132
EG12034	b2170
EG12100	b2465
EG12133	b2426
EG12144	b0688
EG12148	b2943
EG12152	b4268
EG12188	b2829
EG12245	b3519
EG12253	b3526
EG12272	b3553
EG12275	b3567
EG12276	b3568
EG12279	b3575
EG12284	b3580
EG12286	b3582
EG12287	b3583
EG12292	b3588
EG12296	b3612
EG12316	b0118
EG12399	b1198
EG12414	b2094
EG12415	b2093
EG12416	b2092
EG12417	b2091
EG12419	b2096
EG12458	b4088
EG12522	b3128
EG12734	b3091
EG12738	b3093
EG12739	b3094
EG12760	b3127
EG12768	b3137
EG12957	b2388
EG13159	b2406
EG13235	b0731
EG13236	b0732
EG20044	b3528
EG20049	b4477
EG20051	b3693
EG20080	b2976
EG20173	b2297
EG20248	b4323
EG20249	b4324
EG20252	b3566
EG20253	b3569
G495	b2901
G58	b0459
G6094	b0186
G6143	b0271
G6196	b0331
G6198	b0333
G6199	b0334
G6278	b0509
G6283	b0514
G6338	b0612
G6347	b0621
G6626	b1199
G6627	b1200
G6653	b1315
G6669	b1337
G6670	b1338
G6671	b1339
G6708	b1387
G6709	b1388
G6710	b1389
G6711	b1390
G6712	b1391
G6713	b1392
G6714	b1393
G6715	b1394
G6716	b1395
G6718	b1397
G6719	b1398
G6720	b1399
G6867	b1618
G7128	b2095
G7249	b2386
G7264	b2429
G7265	b2430
G7331	b2537
G7334	b2540
G7335	b2541
G7336	b2542
G7445	b2787
G7446	b2788
G7447	b2789
G7463	b2843
G7542	b2975
G7546	b2980
G7565	b3012
G7579	b3032
G7631	b3132
G7723	b3371
G7724	b4474
G7726	b3374
G7789	b4479
G7821	b4089
G7891	b4264
G7892	b4266
G7893	b4267
G7920	b4310
G7948	b4366
G7990	b2169
G81	b3092
G8210	b2702
GB4478	b4478
M004	b3386
M009	b2538
M015	b2539
EG10278	b3845
EG10279	b3846
EG10280	b2344
EG10281	b1187
EG11444	b2917
EG11530	b1805
EG11667	b2219
EG11668	b2220
EG11669	b2221
EG11670	b2222
EG11672	b2224
EG12269	b3548
EG12357	b1701
EG12432	b1694
G36	b3081
G6105	b0221
G6195	b0330
G6200	b0335
G6201	b0346
G6205	b0352
G6206	b0353
G6918	b1695
G6920	b1697
G6921	b1698
G6922	b1699
G6923	b1700
G7212	b2341
G7213	b2342
M010	b0347
M011	b0348
M012	b0349
M013	b0350
M014	b0351
EG10045	b1767
EG10046	b2957
EG10091	b3744
EG10092	b0674
EG10096	b0928
EG10133	b4133
EG10248	b3544
EG10249	b2366
EG10371	b2904
EG10408	b2551
EG10452	b2306
EG10512	b3617
EG10536	b3454
EG10537	b3455
EG10582	b3939
EG10701	b0903
EG10708	b0576
EG10800	b1658
EG10801	b1014
EG10930	b1814
EG10989	b3118
EG10990	b3117
EG10992	b3119
EG10993	b3616
EG11005	b3708
EG11149	b2479
EG11241	b0897
EG11276	b3707
EG11407	b1189
EG11408	b1190
EG11442	b2905
EG11623	b2797
EG11627	b0861
EG11795	b2808
EG11810	b2903
EG12168	b0401
EG12304	b1291
EG12305	b1290
EG12407	b0828
EG12504	b4208
EG12627	b3541
EG12628	b3540
EG12834	b3268
EG13139	b1386
EG13161	b2364
G2002	b1294
G6233	b0402
G6262	b0486
G6378	b0709
G6706	b1384
G6940	b1744
G6941	b1745
G6942	b1746
G6943	b1747
G6944	b1748
G7624	b4471
G7627	b3114
EG10036	b1300
EG10635	b0679
EG10749	b1126
EG10750	b1125
EG10751	b1124
EG10752	b1123
EG10753	b0692
EG11558	b0037
EG11629	b0854
EG11630	b0855
EG11631	b0856
EG11632	b0857
EG11822	b1301
EG12190	b2437
EG12423	b0368
EG12608	b0035
EG50006	b2441
EG50007	b2440
G6088	b0034
G6217	b0365
G6218	b0366
G6219	b0367
G6644	b1297
G6645	b1298
G6646	b1302
G7270	b2438
G7271	b2439
G7281	b2451
G7282	b2452
G7283	b2453
G7284	b2454
G7285	b2455
G7288	b2458
G7289	b2459
G7290	b2460
G7291	b2461
G7292	b2462
G7596	b3073
G7961	b1385
G6275	b0505
G6281	b0512
G6285	b0516
G6286	b0517
G6782	b1488
EG10572	b2781
EG11237	b3338
G6576	b1119
EG10743	b3164
EG10844	b3780
EG10856	b0611
EG10857	b2567
EG10858	b1804
EG10859	b1084
EG10860	b0214
EG10861	b0183
EG10862	b3704
EG10863	b3643
EG11259	b4179
EG11547	b1652
EG11620	b1286
EG30069	b3123
G7175	b2268
G7365	b2630
EG10459	b4350
